index,foils.AOA.0,foils.GAP_HEIGHT.0,status,Cl,Cd,lift,drag,mesh,error
15,-4.0,0.015,ok,-1.167444836284519,0.16538877743616887,-182.44754936152194,25.846854769738574,"C:\Users\goodm\OneDrive\1 - Documents\6 - Projects, Schemes and Learning\01_2D_Airfoil_Simulator\2D-Multi-Element-Aerofoil-Mesh-Generator-main\04_Meshes\Batch\EXAMPLE_3_el_wing__foils_AOA_0_neg4p0_foils_GAP_HEIGHT_0_0p015__015.unv",
16,-4.0,0.02,ok,-1.177945021663479,0.1655272418934518,-184.08851176993,25.86849390858247,"C:\Users\goodm\OneDrive\1 - Documents\6 - Projects, Schemes and Learning\01_2D_Airfoil_Simulator\2D-Multi-Element-Aerofoil-Mesh-Generator-main\04_Meshes\Batch\EXAMPLE_3_el_wing__foils_AOA_0_neg4p0_foils_GAP_HEIGHT_0_0p02__016.unv",
17,-4.0,0.025,ok,-1.1977717979987312,0.1713865022240884,-187.18702798386798,26.78417545101665,"C:\Users\goodm\OneDrive\1 - Documents\6 - Projects, Schemes and Learning\01_2D_Airfoil_Simulator\2D-Multi-Element-Aerofoil-Mesh-Generator-main\04_Meshes\Batch\EXAMPLE_3_el_wing__foils_AOA_0_neg4p0_foils_GAP_HEIGHT_0_0p025__017.unv",
18,-4.0,0.03,ok,-1.2012594015166063,0.1742619900711314,-187.73206848188929,27.233554894572624,"C:\Users\goodm\OneDrive\1 - Documents\6 - Projects, Schemes and Learning\01_2D_Airfoil_Simulator\2D-Multi-Element-Aerofoil-Mesh-Generator-main\04_Meshes\Batch\EXAMPLE_3_el_wing__foils_AOA_0_neg4p0_foils_GAP_HEIGHT_0_0p03__018.unv",
19,-4.0,0.035,ok,-1.211515569322231,0.17301638708952585,-189.33489597644746,27.038892839109174,"C:\Users\goodm\OneDrive\1 - Documents\6 - Projects, Schemes and Learning\01_2D_Airfoil_Simulator\2D-Multi-Element-Aerofoil-Mesh-Generator-main\04_Meshes\Batch\EXAMPLE_3_el_wing__foils_AOA_0_neg4p0_foils_GAP_HEIGHT_0_0p035__019.unv",
20,-3.0,0.015,ok,-1.1926729367344908,0.16222352830433318,-186.3901811322808,25.352191613696,"C:\Users\goodm\OneDrive\1 - Documents\6 - Projects, Schemes and Learning\01_2D_Airfoil_Simulator\2D-Multi-Element-Aerofoil-Mesh-Generator-main\04_Meshes\Batch\EXAMPLE_3_el_wing__foils_AOA_0_neg3p0_foils_GAP_HEIGHT_0_0p015__020.unv",
21,-3.0,0.02,ok,-1.195896099982906,0.1617193771216775,-186.89389507026607,25.27340318196506,"C:\Users\goodm\OneDrive\1 - Documents\6 - Projects, Schemes and Learning\01_2D_Airfoil_Simulator\2D-Multi-Element-Aerofoil-Mesh-Generator-main\04_Meshes\Batch\EXAMPLE_3_el_wing__foils_AOA_0_neg3p0_foils_GAP_HEIGHT_0_0p02__021.unv",
22,-3.0,0.025,ok,-1.2054058223850448,0.1653659202071341,-188.38006854369584,25.843282656270787,"C:\Users\goodm\OneDrive\1 - Documents\6 - Projects, Schemes and Learning\01_2D_Airfoil_Simulator\2D-Multi-Element-Aerofoil-Mesh-Generator-main\04_Meshes\Batch\EXAMPLE_3_el_wing__foils_AOA_0_neg3p0_foils_GAP_HEIGHT_0_0p025__022.unv",
23,-3.0,0.03,ok,-1.2176991132839912,0.1667958116708848,-190.30125636207634,26.066745200543586,"C:\Users\goodm\OneDrive\1 - Documents\6 - Projects, Schemes and Learning\01_2D_Airfoil_Simulator\2D-Multi-Element-Aerofoil-Mesh-Generator-main\04_Meshes\Batch\EXAMPLE_3_el_wing__foils_AOA_0_neg3p0_foils_GAP_HEIGHT_0_0p03__023.unv",
24,-3.0,0.035,ok,-1.2150438105425572,0.16488064451054635,-189.88628730920925,25.767444073705366,"C:\Users\goodm\OneDrive\1 - Documents\6 - Projects, Schemes and Learning\01_2D_Airfoil_Simulator\2D-Multi-Element-Aerofoil-Mesh-Generator-main\04_Meshes\Batch\EXAMPLE_3_el_wing__foils_AOA_0_neg3p0_foils_GAP_HEIGHT_0_0p035__024.unv",
25,-2.0,0.015,ok,-1.1942807105925528,0.15233231265551025,-186.64144302596006,23.806398614107735,"C:\Users\goodm\OneDrive\1 - Documents\6 - Projects, Schemes and Learning\01_2D_Airfoil_Simulator\2D-Multi-Element-Aerofoil-Mesh-Generator-main\04_Meshes\Batch\EXAMPLE_3_el_wing__foils_AOA_0_neg2p0_foils_GAP_HEIGHT_0_0p015__025.unv",
26,-2.0,0.02,ok,-1.203009612258483,0.1547184928271657,-188.00559032274808,24.17930935997144,"C:\Users\goodm\OneDrive\1 - Documents\6 - Projects, Schemes and Learning\01_2D_Airfoil_Simulator\2D-Multi-Element-Aerofoil-Mesh-Generator-main\04_Meshes\Batch\EXAMPLE_3_el_wing__foils_AOA_0_neg2p0_foils_GAP_HEIGHT_0_0p02__026.unv",
27,-2.0,0.025,ok,-1.214489356492733,0.15411595365833652,-189.79963757683655,24.0851449152538,"C:\Users\goodm\OneDrive\1 - Documents\6 - Projects, Schemes and Learning\01_2D_Airfoil_Simulator\2D-Multi-Element-Aerofoil-Mesh-Generator-main\04_Meshes\Batch\EXAMPLE_3_el_wing__foils_AOA_0_neg2p0_foils_GAP_HEIGHT_0_0p025__027.unv",
28,-2.0,0.03,ok,-1.219337136646089,0.158477906690498,-190.5572456293404,24.766828208899348,"C:\Users\goodm\OneDrive\1 - Documents\6 - Projects, Schemes and Learning\01_2D_Airfoil_Simulator\2D-Multi-Element-Aerofoil-Mesh-Generator-main\04_Meshes\Batch\EXAMPLE_3_el_wing__foils_AOA_0_neg2p0_foils_GAP_HEIGHT_0_0p03__028.unv",
29,-2.0,0.035,ok,-1.21358373903001,0.16019432063497455,-189.6581082457731,25.035068307383426,"C:\Users\goodm\OneDrive\1 - Documents\6 - Projects, Schemes and Learning\01_2D_Airfoil_Simulator\2D-Multi-Element-Aerofoil-Mesh-Generator-main\04_Meshes\Batch\EXAMPLE_3_el_wing__foils_AOA_0_neg2p0_foils_GAP_HEIGHT_0_0p035__029.unv",
