index,sweep_key,value,status,Cl,Cd,lift,drag,mesh,error
0,foils.POSITION.1.1,0.006,ok,-2.9281413773473526,0.21541554393199808,-130.745172675281,9.61857330599363,"C:\Users\Harry\OneDrive\1 - Documents\6 - Projects, Schemes and Learning\01_2D_Airfoil_Simulator\2D-Multi-Element-Aerofoil-Mesh-Generator-main\06_Meshes\Batch\2_el_wing__foils_POSITION_1_1_0p006__000.unv",
1,foils.POSITION.1.1,0.007,ok,-2.91251838662881,0.21434595916796406,-130.04758661095966,9.570815009298556,"C:\Users\Harry\OneDrive\1 - Documents\6 - Projects, Schemes and Learning\01_2D_Airfoil_Simulator\2D-Multi-Element-Aerofoil-Mesh-Generator-main\06_Meshes\Batch\2_el_wing__foils_POSITION_1_1_0p007__001.unv",
2,foils.POSITION.1.1,0.008,ok,-2.924695565174191,0.22202052195327596,-130.5913128544841,9.913493830866214,"C:\Users\Harry\OneDrive\1 - Documents\6 - Projects, Schemes and Learning\01_2D_Airfoil_Simulator\2D-Multi-Element-Aerofoil-Mesh-Generator-main\06_Meshes\Batch\2_el_wing__foils_POSITION_1_1_0p008__002.unv",
3,foils.POSITION.1.1,0.009,ok,-2.9291822818038327,0.21752713903940793,-130.7916503603934,9.712858667033364,"C:\Users\Harry\OneDrive\1 - Documents\6 - Projects, Schemes and Learning\01_2D_Airfoil_Simulator\2D-Multi-Element-Aerofoil-Mesh-Generator-main\06_Meshes\Batch\2_el_wing__foils_POSITION_1_1_0p009__003.unv",
4,foils.POSITION.1.1,0.01,ok,-2.937782562757306,0.21801249951756876,-131.17566365531718,9.734530619083843,"C:\Users\Harry\OneDrive\1 - Documents\6 - Projects, Schemes and Learning\01_2D_Airfoil_Simulator\2D-Multi-Element-Aerofoil-Mesh-Generator-main\06_Meshes\Batch\2_el_wing__foils_POSITION_1_1_0p01__004.unv",
5,foils.POSITION.1.1,0.011,ok,-2.960454768298722,0.22161649710101664,-132.18800597299833,9.89545361618177,"C:\Users\Harry\OneDrive\1 - Documents\6 - Projects, Schemes and Learning\01_2D_Airfoil_Simulator\2D-Multi-Element-Aerofoil-Mesh-Generator-main\06_Meshes\Batch\2_el_wing__foils_POSITION_1_1_0p011__005.unv",
